"시도(1)",2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017
"시도(1)",총계,종량제방식에의한혼합배출,종량제방식에의한혼합배출,종량제방식에의한혼합배출,종량제방식에의한혼합배출,종량제방식에의한혼합배출,종량제방식에의한혼합배출,종량제방식에의한혼합배출,종량제방식에의한혼합배출,종량제방식에의한혼합배출,종량제방식에의한혼합배출,종량제방식에의한혼합배출,종량제방식에의한혼합배출,종량제방식에의한혼합배출,종량제방식에의한혼합배출,재활용가능자원 분리배출,재활용가능자원 분리배출,재활용가능자원 분리배출,재활용가능자원 분리배출,재활용가능자원 분리배출,재활용가능자원 분리배출,재활용가능자원 분리배출,재활용가능자원 분리배출,재활용가능자원 분리배출,재활용가능자원 분리배출,재활용가능자원 분리배출,재활용가능자원 분리배출,재활용가능자원 분리배출,재활용가능자원 분리배출,재활용가능자원 분리배출,재활용가능자원 분리배출,재활용가능자원 분리배출,재활용가능자원 분리배출,음식물류폐기물분리배출
"시도(1)",소계,소계,가연성,가연성,가연성,가연성,가연성,가연성,가연성,불연성,불연성,불연성,불연성,불연성,기타(배출불명 등),소계,종이류,폐유리병류,캔류,플라스틱류,합성수지류,발포수지류,폐전기전자제품,폐전지류,타이어,윤활유,폐형광등,고철류,폐의류,영농폐기물,폐가구류,폐식용유,기타,소계
"시도(1)",소계,소계,소계,음식물류폐기물,폐지류,폐목재류,폐고무류,플라스틱류,기타,소계,폐유리류,폐금속류,폐토사류,기타,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계
"합계",45008.9,19660.8,16346.9,1333.8,4980.5,1115.1,912.2,3546.9,4458.4,2652.7,500.9,375.5,335.5,1440.8,661.2,11946.3,3877.8,1491.7,638.1,1082.1,1203.0,131.0,141.8,16.0,28.5,28.3,147.2,1418.3,178.2,463.9,522.3,42.5,535.6,13401.8
"서울",8431.5,2835.8,2666.0,79.2,894.9,187.1,139.6,451.8,913.4,156.8,28.1,17.8,9.2,101.7,13.0,2900.8,1167.1,399.7,191.3,319.3,383.1,26.1,10.6,6.3,0.3,11.7,17.1,145.3,47.3,5.8,96.5,35.4,37.9,2694.9
"부산",2841.0,905.6,710.3,55.1,208.8,24.5,27.6,279.0,115.3,93.7,2.2,4.0,0.0,87.5,101.6,1254.2,518.8,219.1,57.8,87.9,79.8,22.6,16.9,0.3,0.0,0.0,2.5,124.9,0.0,0.4,0.0,0.0,123.2,681.2
"대구",2396.4,1115.1,1036.3,66.0,239.5,19.9,18.8,214.9,477.2,78.8,25.0,17.2,3.4,33.2,0.0,671.3,176.9,94.9,43.6,63.2,65.0,7.6,3.3,0.6,0.2,0.0,26.7,45.1,17.5,0.0,68.2,1.1,57.4,610.0
"인천",1838.3,829.7,637.8,29.8,180.3,39.8,30.0,93.2,264.7,188.4,20.0,33.3,22.9,112.2,3.5,330.2,118.8,33.1,14.2,38.4,57.1,7.7,4.0,0.8,0.0,0.0,1.9,14.5,13.4,2.0,4.0,0.1,20.2,678.4
"광주",1071.4,495.3,373.6,78.9,146.1,20.2,9.1,91.9,27.4,102.9,12.0,9.1,12.4,69.4,18.8,104.2,3.0,18.2,2.0,25.9,35.8,2.0,1.7,0.2,0.0,0.0,3.5,1.8,0.0,0.0,1.3,2.9,5.9,471.9
"대전",1440.4,545.4,456.1,55.0,142.9,20.9,28.4,90.0,118.9,78.4,27.9,14.6,6.1,29.8,10.9,459.1,149.8,77.7,34.8,52.9,76.6,1.5,0.8,0.4,0.0,0.0,1.9,52.6,0.0,2.9,4.1,0.0,3.1,435.9
"울산",1333.5,616.2,426.7,9.6,112.7,60.3,14.4,71.2,158.5,132.3,24.3,18.1,8.1,81.8,57.2,401.8,106.5,51.3,44.8,22.4,37.1,2.8,3.3,0.1,0.0,0.0,43.2,57.7,7.7,2.8,1.5,0.0,20.6,315.5
"세종",154.6,110.2,102.0,5.4,31.4,2.0,1.3,22.9,39.0,8.2,2.9,1.9,0.5,2.9,0.0,2.4,0.3,0.7,0.3,0.4,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,42.0
"경기",9229.8,4178.7,3640.1,368.2,1085.6,304.3,313.6,907.5,660.9,414.9,97.2,72.2,113.9,131.6,123.7,1741.8,346.0,311.2,84.2,190.0,306.2,32.4,21.2,2.0,0.1,0.0,30.3,88.2,12.6,25.6,219.9,0.1,71.8,3309.3
